ID,Name,Year,Distance,Area
C1R250,力里,2009.0,4500.0,25232.448067211597
C1R290,石門山,2009.0,4500.0,185607.50732149978
C1R610,西大武山,2009.0,4500.0,5758878.697905549
C1R630,龍泉,2009.0,4500.0,0.0
C0R340,牡丹,2009.0,4500.0,144943.38359407437
C0R360,墾丁,2009.0,4500.0,4566.967073191892
C0R370,佳樂水,2009.0,4500.0,2653.0772314332867
C0R380,枋寮,2009.0,4500.0,0.0
C0R400,楓港,2009.0,4500.0,42918.64120582766
C0R420,牡丹池山,2009.0,4500.0,49162.78159032687
C0R430,東港,2009.0,4500.0,0.0
C0R500,竹田,2009.0,4500.0,0.0
C1R090,里港,2009.0,4500.0,0.0
C1R130,阿禮,2009.0,4500.0,5235021.478618217
C1R140,瑪家,2009.0,4500.0,1997628.887402367
C1R160,新圍,2009.0,4500.0,0.0
C1R170,屏東,2009.0,4500.0,0.0
C1R190,赤山,2009.0,4500.0,1120.5587822124992
C1R200,龍泉,2009.0,4500.0,0.0
C1R201,龍泉,2009.0,4500.0,0.0
C1R210,麟洛,2009.0,4500.0,0.0
C1R230,南州,2009.0,4500.0,0.0
C1R240,來義,2009.0,4500.0,82944.65237784077
C1R260,春日,2009.0,4500.0,31502.69924931989
C1R300,旭海,2009.0,4500.0,9347.461297979207
C1R320,車城,2009.0,4500.0,62129.111003079466
C1R330,枋山,2009.0,4500.0,18334.805185447738
C1R340,牡丹,2009.0,4500.0,51712.277168482746
C1R440,大漢山,2009.0,4500.0,1623990.053441629
467590,恆春,2010.0,4500.0,13046.504154476432
467790,墾丁雷達站,2010.0,4500.0,0.0
C0R100,尾寮山,2010.0,4500.0,625572.1443235553
C0R130,阿禮,2010.0,4500.0,692996.8861535285
C0R140,瑪家,2010.0,4500.0,601622.9877672801
C0R150,三地門,2010.0,4500.0,58038.95066783148
C0R160,鹽埔,2010.0,4500.0,0.0
C0R170,屏東,2010.0,4500.0,0.0
C0R190,赤山,2010.0,4500.0,1124.548703398847
C0R220,潮州,2010.0,4500.0,0.0
C0R240,來義,2010.0,4500.0,50778.723162286835
C0R260,春日,2010.0,4500.0,8776.005235727744
C0R270,琉球嶼,2010.0,4500.0,0.0
C0R280,檳榔,2010.0,4500.0,0.0
C0R320,車城,2010.0,4500.0,1276.6491201873932
C0R341,牡丹,2010.0,4500.0,21550.094381308296
C0R350,貓鼻頭,2010.0,4500.0,0.0
